CNES,Razão Social,Nome de Fantasia,Logradouro,Número,Complemento,Bairro,CEP,Telefone,lat,lon,Código Esfera Administrativa,Esfera Administrativa,Código Da Atividade,Atividade De Ensino,Código Da Natureza Organização,Natureza Da Organização,Tipo Da Unidade,Tipo De Estabelecimento
6914357,SURGIGRUPO CIRURGIOES ASSOCIADOS LTDA,0BESOPROCTOCENTER,AVENIDA ARMANDO LOMBARDI,1000,BLOCO 1 SALA 222,BARRA DA TIJUCA,22621000,24939377,-23.006141,-43.3148958,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
3132617,3D DIAGNOSE LTDA,3D DIAGNOSE,RUA DO BISPO,72,PARTE,RIO COMPRIDO,20261064,(21)25020028,-22.9248466,-43.2114594,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6721125,3M - SERVICOS DE ANESTESIA LTDA,3M ANESTESISTAS,RUA MONSENHOR ALVES ROCHA,140,SALA 804,PENHA,21070540,21 24161006,-22.8419259,-43.2756148,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
6636705,A M P CAMILO ODONTOLOGIA,A M P CAMILO ODONTOLOGIA,AVN DAS AMERICAS,700,BL C 8 LOJA 204 H,BARRA DA TIJUCA,22640100,2131526032,-23.0038509,-43.3217863,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
7110022,A M WISNESCKY SERVICOS MEDICOS LTDA,A M WISNESCKY SERVICOS MEDICOS,AV. NOSSA SENHORA DE COPACABANA,583,SALA 803,COPACABANA,22020001,(021) 2547-5597,-22.9701417,-43.185867,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
6770517,A&F ODONTOLOGIA,A&F ODONTOLOGIA,RUA BAMBINA,124,SALA 206,BOTAFOGO,22251050,35024777,-22.9473114,-43.18591,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
6857043,FLEURY S/A,A+ MEDICINA DIAGNOSTICA,RUA JARDIM BOTANICO,134,CASA 3 146 E 152,JARDIM BOTANICO,22461000,3208-5710,-22.9604064,-43.2050845,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6853161,FLEURY S/A,A+ MEDICINA DIAGNOSTICA B MITRE,RUA BARTOLOMEU MITRE,600,SALA A B C D E F G,LEBLON,22431004,32085710,-22.9817223,-43.2236441,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
5188636,FLEURY S.A.,A+ MEDICINA DIAGNOSTICA BARRA II,AVENIDA DAS AMERICAS,13331,LOJA A E B,BARRA DA TIJUCA,22790701,32085710,-23.0061581,-43.4331476,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
5187672,FLEURY S.A.,A+ MEDICINA DIAGNOSTICA BARRA III,AVENIDA DAS AMERICAS,3434,BLOCO 2 LOJA 101,BARRA DA TIJUCA,22640102,32085710,-22.999767,-43.3455861,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
3023516,FLEURY S.A.,A+ MEDICINA DIAGNOSTICA BOTAFOGO,RUA MARTINS FERREIRA,80,82 E 88,BOTAFOGO,22271010,32085710,-22.9547404,-43.194832,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6853218,FLEURY S/A,A+ MEDICINA DIAGNOSTICA CAMPO GRANDE II,PRACA DOUTOR RAUL BOAVENTURA,19,LOJA,CAMPO GRANDE,23050300,32085710,-22.9846822,-43.6940546,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
5187613,FLEURY S.A.,A+ MEDICINA DIAGNOSTICA CATETE,RUA DO CATETE,311,SALA 511,CATETE,22220001,32085710,-22.9314622,-43.1775954,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
5188296,FLEURY S.A.,A+ MEDICINA DIAGNOSTICA CENTRO,AVENIDA ALMIRANTE BARROSO,6,SALA 1007 1008 1009,CENTRO,20031000,32085710,-22.9080212,-43.1765154,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
5187648,FLEURY S.A.,A+ MEDICINA DIAGNOSTICA COPACABANA II,AVENIDA NOSSA SENHORA DE COPACABANA,680,SALA 1111 E 1112,COPACABANA,22050001,32085710,-22.9708675,-43.1866895,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6011721,FLEURY S.A.,A+ MEDICINA DIAGNOSTICA DEL CASTILHO,AVENIDA DOM HELDER CAMARA,5555,LOJA A,DEL CASTILHO,20771001,32085710,-22.8877775,-43.2849872,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
5200407,FLEURY S.A.,A+ MEDICINA DIAGNOSTICA DIAS CRUZ,RUA DIAS DA CRUZ,215,LJ 204 205 206,MEIER,20720012,32085710,-22.9033399,-43.2827293,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
5188350,FLEURY S.A.,A+ MEDICINA DIAGNOSTICA ILHA,ESTRADA DO GALEAO,2701,LOJA F,ILHA DO GOVERNADOR,21931242,32085710,-22.8058907,-43.2109926,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
5477832,FLEURY S.A.,A+ MEDICINA DIAGNOSTICA JACAREPAGUA,ESTRADA DOS TRES RIOS,90,SALA 232,JACAREPAGUA,22755900,32085710,-22.9254536,-43.3149842,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
3402061,FLEURY S.A.,A+ MEDICINA DIAGNOSTICA JARDIM BOTANICO,RUA GETULIO DAS NEVES,16,CASA 01 E 02,JARDIM BOTANICO,22461210,32085710,-22.9598374,-43.2061306,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
5188407,FLEURY S.A.,A+ MEDICINA DIAGNOSTICA MADUREIRA,ESTRADA DO PORTELA,99,LOJA 272 E 273,MADUREIRA,21351050,32085710,-22.8726776,-43.3389441,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6745164,FLEURY S.A.,A+ MEDICINA DIAGNOSTICA TAQUARA,AVENIDA NELSON CARDOSO,1149,LJ 220 221 E 222,TAQUARA,22730001,32085710,-22.9219347,-43.3710337,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
3023494,FLEURY S.A.,A+ MEDICINA DIAGNOSTICA TIJUCA,RUA SANTO AFONSO,131,TERREO LOJA A,TIJUCA,20511170,32085710,-22.9228657,-43.2322086,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
5188644,FLEURY S.A.,A+ MEDICINA DIAGNOSTICA TIJUCA II,PRACA SAENS PENA,45,LOJA 210,TIJUCA,20520090,32085710,-22.9242678,-43.2319695,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
5195748,FLEURY S.A.,A+ MEDICINA DIAGNOSTICA VILA ISABEL,AVENIDA VINTE E OITO DE SETEMBRO,408,LOJA,VILA ISABEL,20551030,32085710,-22.9164009,-43.2493517,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
7222564,A.A. EVALDIR DA SILVA GANDUR FILHO ODONTOLOGIA,A.A.DR.EVALDIR S.GANDUR FH ODONTOLOGIA,RUA FELIPE CARDOSO,34,SALA 204,SANTA CRUZ,23515000,21-3395-3403,-22.9163991,-43.6840107,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
6310346,A.G. COR SERVICOS MEDICOS LTDA,A.G. COR SERVICOS MEDICOS,RUA CONDE DE BOMFIM,297,SALA 704,TIJUCA,20520051,21 25184612,-22.9232908,-43.2308695,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
7157770,A.G.O SERVICOS MEDICOS S/C LTDA - ME,A.G.O.,AV DAS AMERICAS,4200,SALA 107 A BLOCO 8,BARRA DA TIJUCA,22640907,(21)2548-7347,-22.9996346,-43.3529702,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
6681433,A.L.MELO SERVICOS ODONTOLOGICOS LTDA,A.L.MELO SERVICOS ODONTOLOGICOS,RUA FERNANDO LEITE MENDES,61,SALA 207 PARTE,RECREIO DOS BANDEIRANTES,22795330,2233-0147,-23.0167906,-43.4595897,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
6616518,A.R.B.- RIO ATENDIMENTO AO RESPIRADOR BUCAL LTDA,A.R.B.- RIO ATENDIMENTO AO RESPIRADOR BUCAL,ESTRADA DO PORTELA,99,LOJA 206,MADUREIRA,21351901,33909149,-22.8726776,-43.3389441,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
6668275,A.S.F. DERMATOLOGIA,A.S.F. DERMATOLOGIA,RUA VISCONDE DE PIRAJA,547,SALA 517,IPANEMA,22410003,2137989391,-22.9839175,-43.2099431,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
7312474,AA SERVICOS PSICOLOGICOS 125 EIRELI ME,AA SERVICOS PSICOLOGICOS 125 EIRELI,RUA DEPUTADO SOARES FILHO,125,,TIJUCA,20540040,21 81310598,-22.9199787,-43.2306159,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
7292562,AA SERVICOS PSICOLOGICOS 125 EIRELI ME,AA SERVICOS PSICOLOGICOS 125 EIRELI,RUA ESPUMAS,125,,JARDIM GUANABARA,21941170,21 24634975,-22.8116781,-43.2099891,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
7359853,AAC PRO - ORAL CLINICA DENTARIA - ME,AAC PRO - ORAL CLINICA DENTARIA,AV ANDRE VESALIO,224,,CAMPO GRANDE,23080430,21782168,-22.8985937,-43.5686367,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
7360177,AAC PRONTO ORAL DIA E NOITE CLINICA DENTARIA,AAC PRONTO ORAL DIA E NOITE CLINICA DENTARIA,AV EVANDRO LINS E SILVA,840,SALA 919,BARRA DA TIJUCA,22631470,217820600,-23.0039667,-43.3260462,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
5350077,AAS SERVICOS DE ODONTOLOGIA LTDA,AAS ODONTO COE,AVENIDA BRAS DE PINA,13,SALA 201,PENHA,21070031,38689606,-22.8381083,-43.2852578,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
5174759,ASSOCIACAO DE APOIO A TERCEIRA IDADE,AATI - COPA,PRACA SERZEDELO CORREIA,15,3º ANDAR,COPACABANA,22041080,32215300,-22.9695202,-43.1834919,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,11,ENTIDADE BENEFICENTE SEM FINS LUCRATIVOS,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6804772,AB 2010 CLINICA DE OLHOS LTDA,AB 2010 CLINICA DE OLHOS ACYOLI BRITO JUNIOR,RUA URUGUAIANA,39,SALA 2101,CENTRO,20050093,2122214519,-22.9050075,-43.1797197,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
5610222,BOTTREL HEITOR RADIOLOGIA ODONTOLOGICA,AB RADIOLOGIA E ODONTOLOGIA,RUA SIDONIO PAIS,111,LOJA B,CASCADURA,21350031,39793958,-22.8796718,-43.3259379,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
2270528,ASSOCIACAO BRASILEIRA BENEFICENTE DE REABILITACAO - ABBR,ABBR,RUA JARDIM BOTANICO,660,,JARDIM BOTANICO,22461000,(21)3528 6355,-22.9644938,-43.2179446,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,11,ENTIDADE BENEFICENTE SEM FINS LUCRATIVOS,36,CLINICA/CENTRO DE ESPECIALIDADE
7001819,ABDO E ROALE SERVICOS ODONTOLOGICOS LTDA,ABDO E ROALE SERVICOS ODONTOLOGICOS,AVENIDA HEITOR BELTRAO,110,,TIJUCA,20550000,25697054,-22.9197864,-43.221964,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
7246846,ABEL FERREIRA CARNEIRO ORTOPEDIA LTDA ME,ABEL FERREIRA CARNEIRO ORTOPEDIA,RUA ARQUIAS CORDEIRO,296,SALA 109,MEIER,20770000,35533873,-22.9024902,-43.2767456,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
7183674,ABF SOUTO CLINICA MEDICA E SEGURANCA DO TRABALHO LTDA. - ME,ABF SOUTO CLINICA MEDICA E SEGURANCA DO TRABALHO,RUA MOURA BRITO,105,,TIJUCA,20520060,22185827,-22.9255326,-43.2272531,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
6853234,ABRAHAO E ROMAO ODONTOLOGIA REABILITADORA E ESTETICA LTDA,ABRAHAO E ROMAO ODONTOLOGIA REABILITADORA E ESTETICA,RUA CARVALHO DE SOUZA,247,SALA 410,MADUREIRA,21350180,2124501879,-22.8755953,-43.3358888,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
7166613,ABRAMED ASSISTENCIA MEDICA LTDA,ABRAMED ASSISTENCIA MEDICA,ESTRADA RODRIGUES CALDAS,299,SALA 310,TAQUARA,22713372,33422443,-22.9230355,-43.3776329,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
6177018,ASSOCIACAO BRASILEIRA DE REABITACAO MENTAL E FISICA LTDA,ABREMEF - ASSOCIACAO BRASILEIRA DE REABILITACAO MENTAL E FIS,PRACA SAIQUI,40,SALA 101,VILA VALQUEIRE,21330320,21 24538340,-22.8841038,-43.3674617,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
6954804,ABREU E SENDRA ODONTOLOGIA LTDA,ABREU E SENDRA ODONTOLOGIA,RUA HERMENGARDA,60,SALA 201,MEIER,20710010,22290377,-22.9026074,-43.2801923,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
5710731,CASA DE REPOUSO SEPETIBA LTDA,ABRIGO DOUTOR NILZO,RUA DA FLORESTA,221,,SEPETIBA,23545411,2133177976,-22.9721512,-43.7074147,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
5507308,ACAFE LABORATORIOS MEDICOS LTDA,ACAFE LABORATORIOS MEDICOS - SERGIO FRANCO,RUA DO CATETE,311,SALAS 316/317/318,CATETE,22220001,25574105,-22.9314622,-43.1775954,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
2295369,ACAO CRISTA VICENTE MORETTI,ACAO CRISTA VICENTE MORETTI,RUA MARAVILHA,308,,BANGU,21810100,(21)3463-8193,-22.8785343,-43.4575756,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,11,ENTIDADE BENEFICENTE SEM FINS LUCRATIVOS,5,HOSPITAL GERAL
6796427,ACHTCHIN E DRUMOND - SERVICOS MEDICOS LTDA.,ACHTCHIN E DRUMOND - SERVICOS MEDICOS,ESTRADA DOS TRES RIOS,200,BL.02 - S/ 319 E 320,FREGUESIA,22755002,,-22.939276,-43.341735,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
7207255,ALMEIDA CENTRO DE ODONTOLOGIA INTEGRADA LTDA ME,ACOI - ODONTOLOGIA INTEGRADA,AVENIDA PRESIDENTE VARGAS,542,SBL 201,CENTRO,20071000,35071864,-22.9016656,-43.1812439,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
