"","Razo Social","NomeDeFantasia","logradouro","Bairro","Telefone","lat","lon","TipoDaUnidade","TipoDeEstablecimento"
"2","SURGIGRUPO CIRURGIOES ASSOCIADOS LTDA","0BESOPROCTOCENTER","AVENIDA ARMANDO LOMBARDI","BARRA DA TIJUCA","24939377",-23.006141,-43.3148958,"22","CONSULTORIO ISOLADO"
"3","3D DIAGNOSE LTDA","3D DIAGNOSE","RUA DO BISPO","RIO COMPRIDO","(21)25020028",-22.9248466,-43.2114594,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"4","3M - SERVICOS DE ANESTESIA LTDA","3M ANESTESISTAS","RUA MONSENHOR ALVES ROCHA","PENHA","21 24161006",-22.8419259,-43.2756148,"22","CONSULTORIO ISOLADO"
"5","A M P CAMILO ODONTOLOGIA","A M P CAMILO ODONTOLOGIA","AVN DAS AMERICAS","BARRA DA TIJUCA","2131526032",-23.0038509,-43.3217863,"22","CONSULTORIO ISOLADO"
"6","A M WISNESCKY SERVICOS MEDICOS LTDA","A M WISNESCKY SERVICOS MEDICOS","AV. NOSSA SENHORA DE COPACABANA","COPACABANA","(021) 2547-5597",-22.9701417,-43.185867,"22","CONSULTORIO ISOLADO"
"7","A&F ODONTOLOGIA","A&F ODONTOLOGIA","RUA BAMBINA","BOTAFOGO","35024777",-22.9473114,-43.18591,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"8","FLEURY S/A","A+ MEDICINA DIAGNOSTICA","RUA JARDIM BOTANICO","JARDIM BOTANICO","3208-5710",-22.9604064,-43.2050845,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"9","FLEURY S/A","A+ MEDICINA DIAGNOSTICA B MITRE","RUA BARTOLOMEU MITRE","LEBLON","32085710",-22.9817223,-43.2236441,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"10","FLEURY S.A.","A+ MEDICINA DIAGNOSTICA BARRA II","AVENIDA DAS AMERICAS","BARRA DA TIJUCA","32085710",-23.0061581,-43.4331476,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"11","FLEURY S.A.","A+ MEDICINA DIAGNOSTICA BARRA III","AVENIDA DAS AMERICAS","BARRA DA TIJUCA","32085710",-22.999767,-43.3455861,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"12","FLEURY S.A.","A+ MEDICINA DIAGNOSTICA BOTAFOGO","RUA MARTINS FERREIRA","BOTAFOGO","32085710",-22.9547404,-43.194832,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"13","FLEURY S/A","A+ MEDICINA DIAGNOSTICA CAMPO GRANDE II","PRACA DOUTOR RAUL BOAVENTURA","CAMPO GRANDE","32085710",-22.9846822,-43.6940546,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"14","FLEURY S.A.","A+ MEDICINA DIAGNOSTICA CATETE","RUA DO CATETE","CATETE","32085710",-22.9314622,-43.1775954,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"15","FLEURY S.A.","A+ MEDICINA DIAGNOSTICA CENTRO","AVENIDA ALMIRANTE BARROSO","CENTRO","32085710",-22.9080212,-43.1765154,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"16","FLEURY S.A.","A+ MEDICINA DIAGNOSTICA COPACABANA II","AVENIDA NOSSA SENHORA DE COPACABANA","COPACABANA","32085710",-22.9708675,-43.1866895,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"17","FLEURY S.A.","A+ MEDICINA DIAGNOSTICA DEL CASTILHO","AVENIDA DOM HELDER CAMARA","DEL CASTILHO","32085710",-22.8877775,-43.2849872,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"18","FLEURY S.A.","A+ MEDICINA DIAGNOSTICA DIAS CRUZ","RUA DIAS DA CRUZ","MEIER","32085710",-22.9033399,-43.2827293,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"19","FLEURY S.A.","A+ MEDICINA DIAGNOSTICA ILHA","ESTRADA DO GALEAO","ILHA DO GOVERNADOR","32085710",-22.8058907,-43.2109926,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"20","FLEURY S.A.","A+ MEDICINA DIAGNOSTICA JACAREPAGUA","ESTRADA DOS TRES RIOS","JACAREPAGUA","32085710",-22.9254536,-43.3149842,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"21","FLEURY S.A.","A+ MEDICINA DIAGNOSTICA JARDIM BOTANICO","RUA GETULIO DAS NEVES","JARDIM BOTANICO","32085710",-22.9598374,-43.2061306,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"22","FLEURY S.A.","A+ MEDICINA DIAGNOSTICA MADUREIRA","ESTRADA DO PORTELA","MADUREIRA","32085710",-22.8726776,-43.3389441,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"23","FLEURY S.A.","A+ MEDICINA DIAGNOSTICA TAQUARA","AVENIDA NELSON CARDOSO","TAQUARA","32085710",-22.9219347,-43.3710337,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"24","FLEURY S.A.","A+ MEDICINA DIAGNOSTICA TIJUCA","RUA SANTO AFONSO","TIJUCA","32085710",-22.9228657,-43.2322086,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"25","FLEURY S.A.","A+ MEDICINA DIAGNOSTICA TIJUCA II","PRACA SAENS PENA","TIJUCA","32085710",-22.9242678,-43.2319695,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"26","FLEURY S.A.","A+ MEDICINA DIAGNOSTICA VILA ISABEL","AVENIDA VINTE E OITO DE SETEMBRO","VILA ISABEL","32085710",-22.9164009,-43.2493517,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"27","A.A. EVALDIR DA SILVA GANDUR FILHO ODONTOLOGIA","A.A.DR.EVALDIR S.GANDUR FH ODONTOLOGIA","RUA FELIPE CARDOSO","SANTA CRUZ","21-3395-3403",-22.9163991,-43.6840107,"22","CONSULTORIO ISOLADO"
"28","A.G. COR SERVICOS MEDICOS LTDA","A.G. COR SERVICOS MEDICOS","RUA CONDE DE BOMFIM","TIJUCA","21 25184612",-22.9232908,-43.2308695,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"29","A.G.O SERVICOS MEDICOS S/C LTDA - ME","A.G.O.","AV DAS AMERICAS","BARRA DA TIJUCA","(21)2548-7347",-22.9996346,-43.3529702,"22","CONSULTORIO ISOLADO"
"30","A.L.MELO SERVICOS ODONTOLOGICOS LTDA","A.L.MELO SERVICOS ODONTOLOGICOS","RUA FERNANDO LEITE MENDES","RECREIO DOS BANDEIRANTES","2233-0147",-23.0167906,-43.4595897,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"31","A.R.B.- RIO ATENDIMENTO AO RESPIRADOR BUCAL LTDA","A.R.B.- RIO ATENDIMENTO AO RESPIRADOR BUCAL","ESTRADA DO PORTELA","MADUREIRA","33909149",-22.8726776,-43.3389441,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"32","A.S.F. DERMATOLOGIA","A.S.F. DERMATOLOGIA","RUA VISCONDE DE PIRAJA","IPANEMA","2137989391",-22.9839175,-43.2099431,"22","CONSULTORIO ISOLADO"
"33","AA SERVICOS PSICOLOGICOS 125 EIRELI ME","AA SERVICOS PSICOLOGICOS 125 EIRELI","RUA DEPUTADO SOARES FILHO","TIJUCA","21 81310598",-22.9199787,-43.2306159,"22","CONSULTORIO ISOLADO"
"34","AA SERVICOS PSICOLOGICOS 125 EIRELI ME","AA SERVICOS PSICOLOGICOS 125 EIRELI","RUA ESPUMAS","JARDIM GUANABARA","21 24634975",-22.8116781,-43.2099891,"22","CONSULTORIO ISOLADO"
"35","AAC PRO - ORAL CLINICA DENTARIA - ME","AAC PRO - ORAL CLINICA DENTARIA","AV ANDRE VESALIO","CAMPO GRANDE","21782168",-22.8985937,-43.5686367,"22","CONSULTORIO ISOLADO"
"36","AAC PRONTO ORAL DIA E NOITE CLINICA DENTARIA","AAC PRONTO ORAL DIA E NOITE CLINICA DENTARIA","AV EVANDRO LINS E SILVA","BARRA DA TIJUCA","217820600",-23.0039667,-43.3260462,"22","CONSULTORIO ISOLADO"
"37","AAS SERVICOS DE ODONTOLOGIA LTDA","AAS ODONTO COE","AVENIDA BRAS DE PINA","PENHA","38689606",-22.8381083,-43.2852578,"22","CONSULTORIO ISOLADO"
